run_label,architecture,seed,source_file,metric_column,n_csv_rows,n_usable_raw,n_retained,n_removed,removed_fraction,raw_mean,raw_sample_std,raw_median,raw_q1,raw_q3,raw_min,raw_max,retained_mean,retained_sample_std,retained_median,retained_q1,retained_q3,retained_min,retained_max
L3N4 seed 0,L3N4,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,abs_energy_error,80000,80000,78531,1469,0.0183625,0.1997303498080699,0.2806366299242564,0.11516928672790519,0.049985885620117174,0.2416131496429443,0.0,10.994155883789062,0.17376219427585432,0.18263305138007205,0.112152099609375,0.049001693725585896,0.2307968139648437,0.0,1.041534423828125
L3N4 seed 1,L3N4,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,abs_energy_error,80000,80000,78657,1343,0.0167875,0.20599446008317174,0.2949561794406318,0.1191558837890625,0.0518379211425781,0.2498087882995605,0.0,19.704620361328125,0.18069893048101104,0.18995858989548653,0.1163482666015625,0.0509405136108398,0.239351749420166,0.0,1.0906867980957031
L3N4 seed 7,L3N4,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,abs_energy_error,80000,80000,78725,1275,0.0159375,0.20470212453629938,0.30088395537312074,0.11953321099281305,0.0521697998046875,0.24705219268798823,0.0,28.87258529663086,0.18021877447689746,0.19059972055594693,0.1167831420898437,0.0512847900390625,0.2373809814453125,0.0,1.1072235107421875
L3N4 seed 42,L3N4,42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,abs_energy_error,80000,80000,79999,1,1.25e-05,0.265648224465159,10.080732926707148,0.1355524063110351,0.05945909023284905,0.2793111801147461,0.0,2850.048095703125,0.2300254985876023,0.3207642591237107,0.1355514526367187,0.0594584941864013,0.27930545806884766,0.0,11.28863525390625
L3N4 seed 101,L3N4,101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,abs_energy_error,80000,80000,78573,1427,0.0178375,0.19947978295959182,0.28335871310257266,0.11422920227050776,0.0492773056030273,0.2412331104278564,5.960464477539063e-06,9.82049560546875,0.17373110953114373,0.18363567110477919,0.1114311218261718,0.0483551025390625,0.231231689453125,5.960464477539063e-06,1.0488166809082031
L3N4 seed 202,L3N4,202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,abs_energy_error,80000,80000,79959,41,0.0005125,0.23565154646359734,1.184069195510051,0.1379945278167724,0.0610303878784179,0.2813048362731933,7.62939453125e-06,323.4248046875,0.22931213519608418,0.2918563202820014,0.1378631591796875,0.06100362539291375,0.28098607063293457,7.62939453125e-06,3.750640869140625
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,abs_energy_error,80000,80000,78609,1391,0.0173875,0.27910872991609503,0.36418024682675726,0.179387092590332,0.0802456736564636,0.3464288711547851,9.5367431640625e-07,22.873519897460938,0.24721379954033942,0.23847252988788384,0.1753692626953125,0.0787773132324218,0.3337936401367187,9.5367431640625e-07,1.371063232421875
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,abs_energy_error,80000,80000,78525,1475,0.0184375,0.20622627334078425,0.2853231740266558,0.11926513910293575,0.0516014099121093,0.249312400817871,0.0,9.35308837890625,0.17973999725187428,0.18832009193552093,0.1160049438476562,0.0506267547607421,0.2381591796875,0.0,1.0620841979980469
L3N5 seed 2,L3N5,2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,abs_energy_error,80000,80000,78597,1403,0.0175375,0.2711846569232875,0.3596966094728214,0.16807222366333005,0.0745697021484375,0.33331358432769775,0.0,16.674484252929688,0.24009996220796612,0.2391930433564821,0.1641921997070312,0.0731220245361328,0.3204574584960937,0.0,1.3500518798828125
L3N5 seed 3,L3N5,3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,abs_energy_error,80000,80000,79997,3,3.75e-05,0.21322648383491905,2.6399977202385,0.11860346794128415,0.05120491981506339,0.24819565936923021,0.0,742.6024780273438,0.20370791514858283,0.27903765639681083,0.1185989379882812,0.0511970520019531,0.2481536865234375,0.0,6.933555603027344
L3N5 seed 4,L3N5,4,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed4_task7_per_point.csv,abs_energy_error,80000,80000,78644,1356,0.01695,0.2038352158157795,0.2931835987286264,0.11694240570068355,0.050190925598144503,0.24564695358276362,3.814697265625e-06,9.99810791015625,0.17816567665295463,0.18891278187731414,0.1141395568847656,0.0492606163024902,0.23559379577636713,3.814697265625e-06,1.0830612182617188
L3N5 seed 7,L3N5,7,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed7_task2_per_point.csv,abs_energy_error,80000,80000,79401,599,0.0074875,0.21562233584981877,0.4545444467777628,0.1237030029296875,0.053504467010498005,0.2592897415161132,0.0,96.79352569580078,0.19884010667670063,0.2276729188664371,0.1223907470703125,0.053110271692276,0.254608154296875,0.0,1.57647705078125
