architecture,metric,n_seeds,raw_mean,raw_seed_std,filtered_mean,filtered_seed_std,n_predictions_filtered,n_predictions_total,filtered_fraction,raw_mean_plus_minus_std,filtered_mean_plus_minus_std
L3N4,energy_mae,6,0.21853441471931487,0.026750558239361504,0.21184588212484015,0.014927544145287512,7,480000,1.4583333333333333e-05,0.219 ± 0.027,0.212 ± 0.015
L3N4,energy_mse,6,17.274767547871196,41.35851628748956,0.13251485099092147,0.016351985011104162,7,480000,1.4583333333333333e-05,17.275 ± 41.359,0.133 ± 0.016
L3N4,force_mae,6,0.8984058108466785,0.7256496071569201,0.6029085989613895,0.026783890438731667,9,480000,1.875e-05,0.898 ± 0.726,0.603 ± 0.027
L3N4,force_rmse,6,108.52857091420232,258.38020446849356,1.3276358646294613,0.04511640791919501,10,480000,2.0833333333333333e-05,108.529 ± 258.380,1.328 ± 0.045
L3N5,energy_mae,8,0.2266159366386033,0.03032985145742415,0.2252047545111398,0.03111039101784209,9,640000,1.40625e-05,0.227 ± 0.030,0.225 ± 0.031
L3N5,energy_mse,8,1.030050338719422,2.4187239199853523,0.1503913846242256,0.03552713170583212,9,640000,1.40625e-05,1.030 ± 2.419,0.150 ± 0.036
L3N5,force_mae,8,0.6839355570334773,0.11846719396320238,0.6330552470133005,0.0481820836678838,13,640000,2.03125e-05,0.684 ± 0.118,0.633 ± 0.048
L3N5,force_rmse,8,21.67491894442266,52.36723200494332,1.3819183683060532,0.09808216977907164,13,640000,2.03125e-05,21.675 ± 52.367,1.382 ± 0.098
L4N3,energy_mae,6,0.21285012905923262,0.004300260795201643,0.21270895851114116,0.004291187690595308,7,480000,1.4583333333333333e-05,0.213 ± 0.004,0.213 ± 0.004
L4N3,energy_mse,6,0.14319282351564586,0.019065605324433153,0.13496310832290212,0.003986088143822301,7,480000,1.4583333333333333e-05,0.143 ± 0.019,0.135 ± 0.004
L4N3,force_mae,6,0.6235365425018274,0.013584154944988101,0.6231409209272538,0.013401552892391411,7,480000,1.4583333333333333e-05,0.624 ± 0.014,0.623 ± 0.013
L4N3,force_rmse,6,1.5450623662930998,0.32942711453713613,1.512453919040973,0.33783897422711023,8,480000,1.6666666666666667e-05,1.545 ± 0.329,1.512 ± 0.338
L4N4,energy_mae,4,0.18431823268869485,0.0027825981979047484,0.18400088619823118,0.0030664535349766587,4,320000,1.25e-05,0.184 ± 0.003,0.184 ± 0.003
L4N4,energy_mse,4,0.12970356579840286,0.04906359745105905,0.10400357296365435,0.0036148575805510052,4,320000,1.25e-05,0.130 ± 0.049,0.104 ± 0.004
L4N4,force_mae,4,0.5525675227720267,0.010236779369718575,0.5508864676986531,0.010582299151107262,4,320000,1.25e-05,0.553 ± 0.010,0.551 ± 0.011
L4N4,force_rmse,4,1.6148297903309055,0.5869760745946201,1.2439111373523088,0.02566706328932394,4,320000,1.25e-05,1.615 ± 0.587,1.244 ± 0.026
